Nome;Stand;País;Produtos;Site;Redes sociais;Atividade principal;Atividade secundária;Endereço
WADAKYU Corporation;Hall 4 - N2022;Japan;;;;Cured and Salted meat;Cured and salted meat;4-7-5 Tsukiji, Chuo-ku, Tokyo, 1040045
Alko Sekerleme Gida San. ve Tic. A.S.;Hall 5B - L224;Türkiye;"""The Fluffy-Puffy"" Coated Floss Halva (https://www.alkoconfectionery.com/), Tahini Halva - No Sugar Added - (https://www.alkoconfectionery.com/), Turkish Delight ""Lokum"" (https://www.alkoconfectionery.com/), Alko's Mini Pulled Halva (https://www.alkoconfectionery.com/), ""Pick One"" New Generation Turkish Delight (https://www.alkoconfectionery.com/), ""The Sweet Bites"" Series (https://www.alkoconfectionery.com/), ""FUNtastic Four"" Chocolate Bar Series (https://www.alkoconfectionery.com/), ""Crunchy Balls"" Dragee Series (https://www.alkoconfectionery.com/), ""Candy Pops"" Hard Candy Series (https://www.alkoconfectionery.com/)";https://www.alkoconfectionery.com/;LinkedIn (https://www.linkedin.com/company/alko-sekerleme/posts/?feedView=all), Instagram (https://www.instagram.com/alkosekerleme/);Confectionery, biscuits and pastry;;Afyonkarahisar Org. San. Bolgesi, 1. Cad. 6. Sok. No:5, Merkez, Afyonkarahisar, 03030, Afyonkarahisar
Maphlix Trust Ghana Limited;;Ghana;;;;Fruits and vegetables;;0 Alogboshie Street Achimota, Opposite, 0 Alogboshie Street Achimota, Opposite, Accra, +233
Prime Products Industry Co., Ltd.;;Thailand;;;;Grocery products;;589/163 Central City Tower, Floor 32, Debaratna Road, Bangna Nuea, Bangna, Bangkok, 10260
MASTER BLENDERS PRIVATE LIMITED;;India;;;;Other alcoholic beverages;;B/1, DAFFODIL HIRANANDANI GARDENS, CENTRAL AVENUE ROAD, MUMBAI, 400076, MAHARASHTRA
Gobarto S.A.;Hall 6 - M071;Poland;;;;Meat and tripe;;Wspólna 70, Warsaw, 00-687, Mazovian Voivodeship
Shanxi Xianguoyuan Biotechnology Co.,L;;People's Republic of China;Xian GuoYuan 200g Organic Small-fruit Seabuckthorn Puree (https://www.thornvita.com/), Jishengyuan 200ml Stand-Up Pouch Seabuckthorn & Blueberry Puree (https://www.thornvita.com/), JiShengYuan 50ml Glass Bottle Bottled Organic Seabuckthorn Puree (https://www.thornvita.com/), JiShengYuan 30ml Stand-up Pouch Organic Sea Buckthorn Puree (https://www.thornvita.com/), Jishengyuan Organic Sea Buckthorn Leaf Tea Premium Gift Box 45g (3g x 15 Bags) (https://www.thornvita.com/), Jishengyuan 500mL Stand-Up Pouch Organic Sea Buckthorn Puree (https://www.thornvita.com/), JiShenYuan 250ml 100% Seabuckthorn Pear Juice Gift Pack in Tetra Pak Packaging (https://www.thornvita.com/), Jishengyuan 20ml Stand-Up Pouch Seabuckthorn & Blueberry Puree (https://www.thornvita.com/), JiShengYuan Organic Seabuckthorn Leaf Tea, Premium Gift Box 60g (3g*20 Sachets) (https://www.thornvita.com/), Jishengyuan Seabuckthorn Seed Oil Capsules (https://www.thornvita.com/), JishengyuanJirunning Seabuckthorn Compound Oil (https://www.thornvita.com/), Jishengyuan 3ml Organic Seabuckthorn Seed Oil Liquid (https://www.thornvita.com/), Jishengyuan Sea Buckthorn Fruit Oil Capsules (https://www.thornvita.com/), Jishengyuan Xinruiyuan Seabuckthorn Compound Oil (https://www.thornvita.com/), Jishengyuan 3ml Organic Small-fruit Seabuckthorn Fruit Oil Oral Liquid (https://www.thornvita.com/);https://www.thornvita.com/;;Non-alcoholic beverages;Healthy foods and diet products;Liangwei Production Industrial Park, Xincheng Town, Youyu County, Shuozhou City, Shanxi Province, Shuozhou, 037200
BEVERAGES FMCG SP. Z O.O.;;Poland;;;;Non-alcoholic beverages;;Stefana Starzynskiego 12, Siedlce, 08-110
CUOVER INTERNATIONAL FOODS LIMITED;Hall 5B - K101;Canada;;https://www.cuover.ca/;LinkedIn (https://www.linkedin.com/company/107819245/admin/dashboard/), Facebook (https://www.facebook.com/cuoverinternational/reels/), Instagram (https://www.instagram.com/hollandparkofficial/);Confectionery, biscuits and pastry;;303, 1112 West Pender Street, Vancouver, V6E 2S1, British Columbia
VITAGORA;Hall 5A - MN058;France;;;;Organizations, federations, institutions;;16 RUE DE L'HOPITAL, DIJON, 21000
XI'AN ECO BIOTECH FACTORY CO.,LTD.;Hall 4A - D046;People's Republic of China;;;;Healthy foods and diet products;;Plant 305, No. 1, Aibide Industrial, Area, E&T Developing Zone,, Xi'an City,Shaanxi Province, China, Xi’an, 710016
RAN FOODS INC.;Hall 5B - J120;Canada;;;;Grocery products;;3770 Nashua Drive, Mississauga, L4V 1M5, Ontario
All Joy Foods (Pty) Ltd;Hall 5A - G126;South Africa;;;;Grocery products;;15 Misgund Road, Eikenhof, Johannesburg, 1872, Gauteng
Yantai Shinho Enterprise Foods Co.,Ltd;Hall 4 - S281;People's Republic of China;;;;Delicatessen, Ready to Eat;;F/4 CITIC Tower,No. 77 Changjiang Road, ETDZ of Yantai,Shandong Province,China, Yantai, 264006, Shandong
PASTAS Y HOJALDRES UKO;Hall 5A - E099;Spain;Butter biscuits assortment (https://www.pastasyhojaldresuko.com/tienda/linea-gourmet/pastas-finas-de-te-clasica/);https://www.pastasyhojaldresuko.com/;LinkedIn (https://es.linkedin.com/company/pastas-y-hojaldres-uko-sa), Facebook (https://www.facebook.com/pastasukocervera/), Instagram (https://www.instagram.com/pastasuko/);Delicatessen, Ready to Eat;;P.º Valdesgares, 28, 34840, CERVERA DE PISUERGA, 34840, CASTILLA Y LEÓN
Denzay Uluslararasi Tic. A.S.;Hall 3 - E237;Türkiye;Pregelatinized Corn Flour, Gluten Free Chickpea Flour, Pregelatinized Rice Flour, Pregelatinized Chickpea Flour, Glucose Syrup, Popcorn, Sesame Seeds, Pea Flour, Gluten Free Corn Flour, Pregelatinized Pea Flour, Flaxseeds, Bulgur, Chickpeas, Fructose Syrup, Pregelatinized Lentil Flour, Crystalline Fructose, Rice Flour, Lentil Flour, Corn Grits, Lentils, Maize Starch;https://denzay-int.com/;LinkedIn (https://www.linkedin.com/company/denzay-international-inc/);Semi-finished food products and ingredients;;Sogutozu Mah. 2177 Cad., No:10B/101 Cankaya, Ankara, 06530, Cankaya
Bioveri MK Sp. z o.o.;;Poland;;;;Grocery products;;ul. Kościelna 10A, Dąbrówka Wielka, Dąbrówka Wielka, 95-100, Łódzkie
Georgian Products Renaissance LTD;Hall 8 - E076;Georgia;;https://gprnuts.ge/;LinkedIn (https://www.linkedin.com/company/georgian-products-renaissance-gpr-llc/about/), Facebook (https://www.facebook.com/GPRnuts);Horticulture;;234 Tsotne Dadiani street, Khobi, 5800, Georgia
Vong Bunheng Import Export Co.,Ltd.;Hall 8 - D011;Cambodia;;;LinkedIn (https://www.facebook.com/profile.php?id=61578088263337), Facebook (https://www.facebook.com/profile.php?id=61578088263337);Semi-finished food products and ingredients;;#22B, Street 217, Sangkat Dangkor, Khan Dangkor, Phnom Penh, 120501, Cambodia
LTA MONDIAL SRL;;Romania;;;;Semi-finished food products and ingredients;;Str. Olteniei nr. 31, Constanta, 900702
GAME BOOST ENERGY DRINK d.o.o.;;Croatia;;;;Non-alcoholic beverages;;Strmec Stubički 124, STUBIČKE TOPLICE, 49244, .
PE “VILIS”;Hall 1 - A178;Ukraine;Chibi;https://vilis.ua/en;;Grocery products;;2a, Grushevskogo str., Rivne, 33003
LA CUMBRECITA;;Argentina;Yerba mate Classic, Yerba mate Lemon , Yerba Mate Orange , Yerba mate Mint , Yerba mate Chamomile, Yerba mate Special Selection, Yerba mate Breebrush ;https://www.yerbalacumbrecita.com.ar/?gad_source=1&gad_campaignid=22908783981&gbraid=0AAAAApOkIyiUlKpqkRfXqflMpbsETsW1v&gclid=Cj0KCQjwm8bTBhDWARIsAC9Hi8kUBsrIHPbzv9K0A0JqcdXXOVuYI8SUr3cGAY-l_m5i9B4EqKoX85waAmRGEALw_wcB;LinkedIn (https://www.linkedin.com/company/la-cumbrecita-srl/posts/), Facebook (https://www.facebook.com/YerbaLaCumbrecita/?locale=es_LA), Instagram (https://www.instagram.com/yerbalacumbrecita/?hl=es), YouTube (https://www.youtube.com/channel/UCI64IIp8g8BCWrvJBTC5pag);Grocery products;Non-alcoholic beverages;Pueyrredón 65 EP, San Francisco, 2400
YUNNAN H.C.IMPORT & EXPORT CORP;Hall 3 - F296;People's Republic of China;;;;Semi-finished food products and ingredients;;East of Munaihe road,Simao district, Puer city,Yunnan, Yunnan, 665000
TURON AGRO MARKET LLC;;Uzbekistan;;;;Fruits and vegetables;;Samarkand, Ishtikhan district, Samarkand, 100140, Uzbekistan
A.F.JONES EXPORTERS CEYLON (PVT) LTD;Hall 5C - G268;Sri Lanka;;;;Non-alcoholic beverages;;NO. 330,, T.B JAYAH MAWATHA, COLOMBO 10., COLOMBO, 1000
"""QO`SHCHINOR AGRO GROUP"" LLC";;Uzbekistan;;;;Fruits and vegetables;;Samarkand region, Urgut District, Samarkand, 130500, Uzbekistan
COOPERATIVA EXTREMEÑA DE AJOS DE ACEUC;;Spain;FRESH GARLIC (https://coajosaceuchal.es/ajo-fresco), PEELED GARLIC CLOVES (https://coajosaceuchal.es/ajo-pelado), GARLIC PASTE (https://coajosaceuchal.es/pasta-de-ajo), GARLIC MESH BAGS (https://coajosaceuchal.es/ajo-fresco), Peeled Natural Garlic Clove 5LB;https://www.coajosaceuchal.com/;LinkedIn (https://www.linkedin.com/company/cooperativa-extreme%C3%B1a-de-ajos-de-aceuchal-s-c-/), Facebook (https://www.facebook.com/coajosaceuchal), Instagram (https://www.instagram.com/ajosaceuchal/);Fruits and vegetables;;Crt. Don Benito-Olivenza, km. 80, ACEUCHAL, 06207
HHB Gida San. ve Tic. A.S.;Hall 5B - L214;Türkiye;Tortilla's Thin Pizza Base, Tortilla's 25 cm Ø, Tortilla’s 15cm Ø, Tortilla's 20 cm Ø, Tortilla's 30 cm Ø;https://www.hhbgida.com/;LinkedIn (https://tr.linkedin.com/company/hhbgida), Facebook (https://www.facebook.com/hhbgida), Instagram (https://www.instagram.com/hhbgida/);Confectionery, biscuits and pastry;Frozen products;Org. San. Bolgesi Mah., Mustafa Kemal Bulv. No:3, Torbali, Izmir, 35865
Star Rice Land Private Limited;;India;;;;Grocery products;;V.P.O. Akbarpur Barota, Distt. Sonipat, Sonipat, 131103, Haryana
MARCEL S.R.L;;Romania;;;;Meat and tripe;;Sat Rachiteni, Rachiteni, 707298, Iasi
HENAN MINOODLES CO.,LTD;;People's Republic of China;;;;Confectionery, biscuits and pastry;;No. 16, West Section of Mulan Avenue, Yucheng County, Shangqiu City, Henan, Yucheng, 476300, Henan
Grupo Sesajal;;Mexico;Non-Seed Oils, Toasted Sesame Oil, Tahini, Chia Seed;https://sesajal.com/europe/;LinkedIn (https://mx.linkedin.com/company/gruposesajal), Facebook (https://www.facebook.com/GrupoSesajal/), Instagram (https://www.instagram.com/gruposesajal/);Grocery products;Horticulture;Calle 22 #2332, Zona Industrial, Guadalajara, 44940, Jalisco
Taveephol Product Co., Ltd;;Thailand;;;;Non-alcoholic beverages;;101 Chakphra Rd, Klong Chakphra, Talingchan, Bangkok, 10170
SUPPLY ET INNOVATION;Hall 5A - T018;France;;;;Non-alcoholic beverages;;2 rue Louis Blériot, Les Mureaux, 78130
BIOBLACK COMMUNITY ENTERPRISE;Hall 8 - L062;Thailand;;;;Grocery products;;69 Moo 4 Phra That King Kaeng,, Chun District, Phayao, 56150
Bourbon Vanilla Ltd;;Mauritius;;;;Semi-finished food products and ingredients;;Rogers Industrial Zone, Park 1, Riche Terre, Riche Terre, 21416
KFI INC.;Hall 5B - J108;Canada;;;;Grocery products;;6295 Kestrel Road, Mississauga, L6T 1Z4, Ontario
ETG COMMODITIES INC.;Hall 8 - H042;Canada;;https://etgworld.com/northamerica/;LinkedIn (https://www.linkedin.com/company/etgnorthamerica/), Facebook (https://www.facebook.com/etgnorthamerica), Instagram (https://www.instagram.com/naturzpulses/), Twitter/X (https://x.com/ETGNorthAmerica);Grocery products;;6601 Goreway Dr, Unit B, Mississauga, L4V 1V6, Ontario
OLIVED;Hall 3 - D073;Tunisia;;https://www.olived.tn/;LinkedIn (https://www.linkedin.com/company/olived-oliveoil/);Grocery products;;sfax, sfax, 4000
AGRICULTURAS DIVERSAS SLU;;Spain;;;;Cured and Salted meat;Cured and salted meat;CALLE FRANCISCO DE PEÑARANDA 1, ESC DC, LLERENA-BADAJOZ-, 06900
OPTIMEAT SRL;;Romania;;;;Meat and tripe;;Str. Fantanica nr. 36, Bucuresti, 021805, Sector 2
La Anita Condimentos y Salsas S.A de C;;Mexico;;https://www.laanita.com/;;Grocery products;;C. 19 425, C. 25 diagn., Cd Industrial, Merida, 97288, Yucatan
Ecofish SA;Hall 3 - D111;Tunisia;;;;Grocery products;;BEN GUERDEN, MEDNINE, 4100
INDYK-SLASK SP.ZO.O.;;Poland;;;;Poultry and game;;WOLNOSCI 21, WIESZOWA, 42-672
HARVEST GRAIN LTD;Hall 8 - G038;Canada;;;;Services and trade press;;30-3814 Burron Ave, Saskatoon, S7P 0E4, Saskatchewan
GHATO FOOD LTD;;Ghana;;;;Fruits and vegetables;;OFF SPINTEX ROAD, ADJACENT BARON WATER, ACCRA,GHANA, ACCRA, /
WHITEFIELDS GLOBAL PRIVATE LIMITED;;India;;;;Grocery products;;F-7/10, VASANT VIHAR, NEW DELHI, 110057, NCR
Kapal Api Global;;Indonesia;Gingerbon , GoodDay 3in1 Stickpack Hazelnut, GoodDay Cappuccino No Added Sugar, GoodDay Cappuccino , Yesco, GoodDay Latte, Esprezzo, Good Day Pure Black, Bontea Green, GoodDay Grande White;https://kapalapi.com/;;Non-alcoholic beverages;;Jalan Taman Jatibaru Barat No. 2, Cideng, DKI JAKARTA, 10150, DKI Jakarta
AGROPRIMUS;Hall 8 - N026;Argentina;;;;Grocery products;;Ruta 3 KM 496, Tres Arroyos, 7500
Two Parrots Trading Solutions Co., Ltd;;Cambodia;Crushed Pepper , Black Pepper (Whole), Fine Black Pepper , White Pepper (Whole);https://two-parrots.com/;LinkedIn (https://www.linkedin.com/company/twoparrots/home/), Facebook (https://www.facebook.com/share/1BXnm15Pkz/?mibextid=wwXIfr), Instagram (https://www.instagram.com/twoparrotstrading/);Delicatessen, Ready to Eat;Grocery products;#workspace 1, Unit 8, No. 1159,, National Road No.2, Prek Ta Nu Village, Chak Angrae Leu Commune, Mean Chey, Phnom Penh, 120000
FLORBÚ;Hall 2 - J088;Spain;;;;Grocery products;;C. LÓPEZ BRAVO 37, BURGOS, 09001, CASTILLA Y LEÓN
“GreenLeaf Products”;;Uzbekistan;;;;Healthy foods and diet products;;Tashkent, Yunusabad district, Tashkent, 100200, Uzbekistan
Hubei piaoyang Food Technology Co.,Ltd;Hall 6A - R036;People's Republic of China;;;;Semi-finished food products and ingredients;;NO.398  CHUDU ROAD,YANCHENG STREET, YICHENG,HUBEI,CHINA, XIANGYANG, 441400, YICHENG
societé  attaoufik des dattes;Hall 8 - C039;Tunisia;;;;Fruits and vegetables;;km 25 route de douz el golaa, DOUZ, 4200
Fromagerie Dongé;Hall 7 - C071;France;Le Petit Dongé, Pasteurized chesses, Brie de Meaux PDO, Brie Noir, BARISIEN - Triple cream, Le Végé du Fromager, Coulommiers cheese;;;Dairy products, eggs;;6 Chemin de la Grande Haie, Triconville, 55500
Spółdzielnia Pracy Cukry Nyskie;Hall 5B - N059;Poland;PETIT BEURRE BISCUITS 200G, BUTTER, WHOLEGRAIN, COCOA, BLACKY, CHRUPS WAFERS 60G, 300G COCOA, PEANUT, CREAMY, LEMON, PISTACHIO, , DESERRO WITH CREAM SANDWICHES - MILK, PEANUT, HALVA, CHOCOLATE FLAVOUR, LEMON, BLUEBERRY, STRAWBERRY, PISTACHIO, MASCARPONE, MARZIPAN, TIRAMISU,  Fit & Free WAFERS salty caramel in chocolate 40g (15% protein in milk chocolate without sugar) ,Double Chocolate, Raspberry, Peanut butter  (https://c-n.eu/oferta-producenta/), FIT&FREE WAFERS VANILLA, COCOA NO ADDED SUGAR 95G;https://www.c-n.eu/;;Confectionery, biscuits and pastry;;Aleja Wojska Polskiego 9, NYSA, 48-300
Zakład Mięsny Karol;;Poland;;;;Cured and Salted meat;Cured and salted meat;Strzakły 55, Międzyrzec Podlaski, 21-560
Exotic Nuts EPZ;;Kenya;;;;Fruits and vegetables;;Road C, Nairobi City, n/a
NAKHEEL PALESTINE LTD CO.;;State of Palestine;;;;Grocery products;;Jericho, Jericho, 970
Geomeat LLC;;Georgia;;;;Meat and tripe;;45 Vazha Pshavela Ave, Tbilisi, Mmtskheta str 1, Tbilisi, 0177, ვაკე-საბურთალო
Nazli Gida San. ve Tic. Ltd. Sti.;Hall 5B - K140;Türkiye;Pattes natural potato chips (https://www.instagram.com/pattes_cips?igsh=MXRtMHl0YTczMWZ3Yw==), Nazo (https://www.nazligida.com.tr/), Laylaylom  (https://www.instagram.com/laylaylomcandy?igsh=amM5eHQ1M2xxZ3pn), Pattes  (https://www.instagram.com/pattes_cips?igsh=MXRtMHl0YTczMWZ3Yw==), Gripno  (https://www.instagram.com/nazoturkiye?igsh=MTRmcXRld3J6aWZ4YQ==), Mochi (https://www.instagram.com/pattes_cips?igsh=MXRtMHl0YTczMWZ3Yw==), Dubai Chocolate Premium (https://www.instagram.com/chocolart.official?igsh=MW54b29nZzZxZDIwYg==), Laylaylom lollipop and powdered fruit (https://www.instagram.com/laylaylomcandy?igsh=amM5eHQ1M2xxZ3pn), Flopy candy  (https://www.instagram.com/laylaylomcandy?igsh=amM5eHQ1M2xxZ3pn), Dubai Chocolate Premium (https://www.instagram.com/chocolart.official?igsh=MW54b29nZzZxZDIwYg==);https://www.nazligida.com.tr/;LinkedIn (https://www.linkedin.com/company/nazli-gida/), Facebook (https://www.facebook.com/share/1Bq8KHH7Fp/), Instagram (https://www.instagram.com/pattes_cips?igsh=MXRtMHl0YTczMWZ3Yw==), Twitter/X (https://x.com/nazligida?s=11&t=fbEzKS3VGGjIcKkKU3gGVQ), TikTok (https://www.tiktok.com/@nazli.gida), YouTube (https://youtube.com/@nazlgda?si=K__SCQGe_hwKMCm1);Confectionery, biscuits and pastry;Grocery products, Non-alcoholic beverages;Ziya Gokalp Mah. Seyit Onbasi Cad., No:36 S Office Plaza Kat:8, Basaksehir, Istanbul, 34100, Basaksehir
HESCO SOLUTION CO., LTD.;;Thailand;;;;Grocery products;;67 Moo 4, Klongmaduea, Krathumbaen, Samutsakhon, 74110
Hedez Import Export SRL;;Romania;;https://hedez.ro/;;Delicatessen, Ready to Eat;;Str. Jokai Mor nr. 18/a, Sfantu Gheorghe, 520046, Covasna
Empress Norge AS;;Norway;;;;Non-alcoholic beverages;;Trollåsveien 8, Trollåsen, 1414
ETS NOURI & COMPAGNIE;Hall 8 - F046;Tunisia;;;;Fruits and vegetables;;route el Hamma, Gabes, 6000
OM SHREE INTERNATIONAL PVT LTD;Hall 3 - B165;India;Coffee Beans (https://omshreegroup.com/commodities/coffee/coffee-beans), Oil Seeds products (https://omshreegroup.com/commodities/oil-seeds), Rice (https://omshreegroup.com/commodities/rice/basmati-rice), Spices (https://omshreegroup.com/commodities/spices);https://www.omshreegroup.com/;;Grocery products;;702, ORION BUSINESS PARK,, NEHRU ROAD, NEAR STATION, SANTACRUZ EAST, MUMBAI, 400055, Maharashtra
DAIRY ROAD;Hall 5A - ST037;Denmark;;;;Dairy products, eggs;;Mejerivej 42, 7700, THISTED, 00000, .
AVES SP.ZO.O.;;Poland;;;;Poultry and game;;BRZOSKWINIOWA 29, ZDUNSKA WOLA, 98-220
Sun Planet Organic LLC;Hall 8 - C028;Kyrgyzstan;;;;Grocery products;;147, Chuy avenue, Bishkek, 720011
CALIXTO FOODS COM. IMP. EXP. LTDA;;Brazil;;;;Grocery products;;RUA A, 156 - DISTRITO INDUSTRIAL, IACRI, 17680-000, SÃO PAULO
Nochiole;;Georgia;;;;Horticulture;;Eliava str. N 17, Senaki, 4100
WHALLEY a.s.;;Czech Republic;;;;Delicatessen, Ready to Eat;;Mikulášovická 552, Velký Šenov, 407 78
Eden Herbs & Spices NV;;Suriname;;;;Healthy foods and diet products;;Wilfred Krossweg 50, Hanna's Lust - Wanica, Paramaribo, 00000, Paramaribo
Benmark Gida San. Girisim A.S.;Hall 5A - R141;Türkiye;pizza with mix, pizza with ham, vegetarian pizza, pide with minced mea, neapolitan with pastrami, pide with cheese, neapolitan with cheese, neapolitan mozzarella, neapolitan style crust, pepperoni, neapolitan sauce crust, three-cheese pizza;;;Frozen products;;Selimpasa Mah. 6093 Sok., No:68 Silivri, Istanbul, 34522
TANHO HOLDING LLC;;Uzbekistan;;;;Grocery products;;Tashkent region, Qibray district, Qibray district, 110100, Uzbekistan
MIEL 79;Hall 5A - F083;Spain;;;;Delicatessen, Ready to Eat;;Ctra. VP-6604 s/n, TIEDRA, 47870, CASTILLA Y LEÓN
SEVEN HILLS AGRO COMMODITIES;;Uzbekistan;;;;Grocery products;;Namangan region, Chust district, Namangan region, 150600, Uzbekistan
Fresh Roots SARL;Hall 7 - L404;Switzerland;Organic Coconut Water (https://heylife.com/en/shop/coconut-water-475ml/);https://www.heylife.com/;LinkedIn (https://www.linkedin.com/company/heylife), Facebook (https://www.facebook.com/heylifejuices/), Instagram (https://www.instagram.com/heylife/);Non-alcoholic beverages;;chemin du bocage 5, Chemin du Bocage 5, Epalinges, 1066, Vaud
OKECHAMP BV;Hall 5A - G191;Netherlands;;https://www.okechamp.eu/;;Other alcoholic beverages;;Oude Venloseweg 84, Velden, 5941 HG
LAIYANG NEWFARM FOOD CO., LTD;Hall 4 - S277;People's Republic of China;;;;Frozen products;;NO.001 South Fushui Road,Laiyang, Shandong ,China, Yantai, 265200, Laiyang
WAK Europe bv;;Belgium;Avocado pulp, Guacamole, Avocado, IQF avocado;;;Frozen products;Delicatessen, Ready to Eat, Semi-finished food products and ingredients;Kardinaal Mercierplein 2, Mechelen, 2800
BUNGE ARGENTINA S.A.;Hall 4 - L036;Argentina;;;;Grocery products;;25 DE MAYO 501, Ciudad Autónoma de Buenos Aires, 1002
FENGXIANG GROUP;;People's Republic of China;;;;Poultry and game;;Yanggu, Liaocheng, 252300
GKV Foods Ltd;;Ghana;ava Desiccated Coconut - Powder, Chips (https://gkvfoods.com/ava/), ava Dried Mango (https://gkvfoods.com/ava/), ava Coconuttys - BBQ Flavoured Coconut Chips (https://gkvfoods.com/ava/), ava Coconuttys - Coconut Chips Mixed with Seeds (https://gkvfoods.com/ava/), ava Virgin Premium Coconut Oil (https://gkvfoods.com/ava/);https://www.gkvfoods.com/;LinkedIn (https://www.linkedin.com/company/gkv-foods/), Facebook (https://www.facebook.com/avacoconutoil/), Instagram (https://www.instagram.com/gkv_foods?igsi=d2RraWcyYWVwaXFm), TikTok (https://www.tiktok.com/@avacoconutoil?_r=1&_t=ZS-994arw8vMf3);Fruits and vegetables;Healthy foods and diet products;KIA, Airport Accra, Accra, 30254
New Feida (Shandong) Food Co., Ltd.;;People's Republic of China;;;;Grocery products;;No.1 Feida Road, Yangan Town, Laoling city, Shangdong, 253614
Passiphae by Kokkinakis Premium;;Greece;"""Pasiphae By Kokkinakis Premium"", Extra Virgin Olive Oil, High Phenolic, ""Pasiphae By Kokkinakis Premium Organic Extra Virgin Olive Oil, High Phenolic";https://www.pasiphaeoliveoil.com/;;Grocery products;Delicatessen, Ready to Eat, Healthy foods and diet products;Vasiliki Gortys Crete, Agioi Deka, 70012
